product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,sq_ft,data_src,date
4793,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/fullerton-iv,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Fullerton IV,,34983,Port-St-Lucie,"364,995","2,056",No Plan,19/05/2024 10:01:00 PM
3876,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/arabella-iii,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Arabella III,,34983,Port-St-Lucie,"322,995","1,690",No Plan,19/05/2024 10:01:00 PM
4648,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/warner,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Warner,,34983,Port-St-Lucie,"379,995","2,235",No Plan,19/05/2024 10:01:00 PM
9422,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/warner-ii,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Warner II,,34983,Port-St-Lucie,"359,995","2,232",No Plan,19/05/2024 10:01:00 PM
1822,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/oleander,Home Builder,,K.Hovnanian Homes,Louisville,OH,Oleander,,44641,Louisville,"315,990","2,080",No Plan,19/05/2024 10:01:00 PM
3317,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/forsythia,Home Builder,,K.Hovnanian Homes,Louisville,OH,Forsythia,,44641,Louisville,"294,990","1,799",No Plan,19/05/2024 10:01:00 PM
7723,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/water-lily,Home Builder,,K.Hovnanian Homes,Louisville,OH,Water Lily,,44641,Louisville,"335,990","2,486",No Plan,19/05/2024 10:01:00 PM
5474,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/goldenrod,Home Builder,,K.Hovnanian Homes,Louisville,OH,Goldenrod,,44641,Louisville,"315,990","1,762",No Plan,19/05/2024 10:01:00 PM
7059,Hovnanian,https://www.khov.com/find-new-homes/florida/palm-bay/32909/k-hovnanian-homes/aspire-at-palm-bay/passionflower-ii,Home Builder,,K.Hovnanian Homes,Palm-Bay,FL,Passionflower II,,32909,Palm-Bay,"379,995","2,094",No Plan,19/05/2024 10:01:00 PM
8490,Hovnanian,https://www.khov.com/find-new-homes/florida/palm-bay/32909/k-hovnanian-homes/aspire-at-palm-bay/goldenrod-ii,Home Builder,,K.Hovnanian Homes,Palm-Bay,FL,Goldenrod II,,32909,Palm-Bay,"349,995","1,820",No Plan,19/05/2024 10:01:00 PM
3586,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34953/k-hovnanian-homes/aspire-at-port-st.-lucie/dupont,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Dupont,,34953,Port-St-Lucie,"409,995","1,830",No Plan,19/05/2024 10:01:00 PM
6056,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34953/k-hovnanian-homes/aspire-at-port-st.-lucie/palmera,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Palmera,,34953,Port-St-Lucie,"473,995","2,127",No Plan,19/05/2024 10:01:00 PM
