product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,latitude,longitude,price,sq_ft,data_src,date
6506,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/goldenrod,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Goldenrod,,25405,Martinsburg,39.416207,-77.895915,"367,990","1,762",No Plan,29/05/2024 11:52:08 PM
4824,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run-townhomes/greenwich,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Greenwich,,25405,Martinsburg,39.416207,-77.895915,"275,990","1,918",No Plan,29/05/2024 11:52:08 PM
2116,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/friesian-020672bc-46a2-4b9d-94dc-4d9e24ceab78,Home Builder,,K.Hovnanian Homes,Patterson,CA,Friesian,,95363,Patterson,37.486229,-121.122682,"527,224","1,912",No Plan,29/05/2024 11:52:08 PM
7036,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/foxglove,Home Builder,,K.Hovnanian Homes,Patterson,CA,Foxglove,,95363,Patterson,37.486229,-121.122682,"566,056","2,189",No Plan,29/05/2024 11:52:08 PM
4158,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/sunflower,Home Builder,,K.Hovnanian Homes,Patterson,CA,Sunflower,,95363,Patterson,37.486229,-121.122682,"594,137","2,506",No Plan,29/05/2024 11:52:08 PM
8008,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/goldenrod-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Goldenrod II,,95692,Wheatland,39.005539,-121.441755,"491,990","1,711",No Plan,29/05/2024 11:52:08 PM
2093,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/passionflower-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Passionflower II,,95692,Wheatland,39.005539,-121.441755,"543,409","1,977",No Plan,29/05/2024 11:52:08 PM
5177,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/water-lily-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Water Lily II,,95692,Wheatland,39.005539,-121.441755,"573,833","2,548",No Plan,29/05/2024 11:52:08 PM
3100,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/passionflower-ii-esp,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Passionflower II,,95692,Wheatland,39.005539,-121.441755,"536,601","1,977",No Plan,29/05/2024 11:52:08 PM
3889,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34952/k-hovnanian-homes/aspire-at-east-lake/stetson,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Stetson,,34952,Port-St-Lucie,27.2851816911701,-80.2854065046997,"349,995","1,666",No Plan,29/05/2024 11:52:08 PM
9506,Hovnanian,https://www.khov.com/find-new-homes/delaware/felton/19943/k-hovnanian-homes/aspire-at-fork-landing/oleander,Home Builder,,K.Hovnanian Homes,Felton,DE,Oleander,,19943,Felton,38.980488,-75.50273,"499,900","2,081",No Plan,29/05/2024 11:52:08 PM
4084,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/fullerton-v,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Fullerton V,,34983,Port-St-Lucie,27.344619,-80.345717,"344,995","1,992",No Plan,29/05/2024 11:52:08 PM
4149,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/fullerton-iv,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Fullerton IV,,34983,Port-St-Lucie,27.344619,-80.345717,"364,995","2,056",No Plan,29/05/2024 11:52:08 PM
8656,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/arabella-iii,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Arabella III,,34983,Port-St-Lucie,27.344619,-80.345717,"322,995","1,690",No Plan,29/05/2024 11:52:08 PM
8953,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/warner,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Warner,,34983,Port-St-Lucie,27.344619,-80.345717,"379,995","2,235",No Plan,29/05/2024 11:52:08 PM
5489,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/warner-ii,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Warner II,,34983,Port-St-Lucie,27.344619,-80.345717,"359,995","2,232",No Plan,29/05/2024 11:52:08 PM
3070,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/oleander,Home Builder,,K.Hovnanian Homes,Louisville,OH,Oleander,,44641,Louisville,40.8414781639108,-81.2978031673687,"315,990","2,080",No Plan,29/05/2024 11:52:08 PM
6491,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/forsythia,Home Builder,,K.Hovnanian Homes,Louisville,OH,Forsythia,,44641,Louisville,40.8414781639108,-81.2978031673687,"294,990","1,799",No Plan,29/05/2024 11:52:08 PM
7784,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/water-lily,Home Builder,,K.Hovnanian Homes,Louisville,OH,Water Lily,,44641,Louisville,40.8414781639108,-81.2978031673687,"335,990","2,486",No Plan,29/05/2024 11:52:08 PM
5598,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/goldenrod,Home Builder,,K.Hovnanian Homes,Louisville,OH,Goldenrod,,44641,Louisville,40.8414781639108,-81.2978031673687,"315,990","1,762",No Plan,29/05/2024 11:52:08 PM
7456,Hovnanian,https://www.khov.com/find-new-homes/florida/palm-bay/32909/k-hovnanian-homes/aspire-at-palm-bay/passionflower-ii,Home Builder,,K.Hovnanian Homes,Palm-Bay,FL,Passionflower II,,32909,Palm-Bay,27.9891973818137,-80.6489004670677,"379,995","2,094",No Plan,29/05/2024 11:52:08 PM
4037,Hovnanian,https://www.khov.com/find-new-homes/florida/palm-bay/32909/k-hovnanian-homes/aspire-at-palm-bay/goldenrod-ii,Home Builder,,K.Hovnanian Homes,Palm-Bay,FL,Goldenrod II,,32909,Palm-Bay,27.9891973818137,-80.6489004670677,"349,995","1,820",No Plan,29/05/2024 11:52:08 PM
7621,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34953/k-hovnanian-homes/aspire-at-port-st.-lucie/dupont,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Dupont,,34953,Port-St-Lucie,27.25611,-80.38963,"409,995","1,830",No Plan,29/05/2024 11:52:08 PM
6686,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34953/k-hovnanian-homes/aspire-at-port-st.-lucie/palmera,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Palmera,,34953,Port-St-Lucie,27.25611,-80.38963,"473,995","2,127",No Plan,29/05/2024 11:52:08 PM
