product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,date
3371,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34953/k-hovnanian-homes/aspire-at-port-st.-lucie/palmera,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Palmera,,34953,Port-St-Lucie,"473,995",09/05/2024 10:34:28 PM
6204,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/topaz,Home Builder,,K.Hovnanian Homes,Fowler,CA,Topaz,,93625,Fowler,"519,990",09/05/2024 10:34:28 PM
6969,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/juniper,Home Builder,,K.Hovnanian Homes,Fowler,CA,Juniper,,93625,Fowler,"439,990",09/05/2024 10:34:28 PM
3695,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/paso-fino,Home Builder,,K.Hovnanian Homes,Fowler,CA,Paso Fino,,93625,Fowler,"479,450",09/05/2024 10:34:28 PM
1763,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/larkspur,Home Builder,,K.Hovnanian Homes,Fowler,CA,Larkspur,,93625,Fowler,"509,990",09/05/2024 10:34:28 PM
3045,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/slate,Home Builder,,K.Hovnanian Homes,Fowler,CA,Slate,,93625,Fowler,"567,990",09/05/2024 10:34:28 PM
6017,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/ashmere,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Ashmere,,34951,Fort-Pierce,"358,990",09/05/2024 10:34:28 PM
4316,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/eden,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Eden,,34951,Fort-Pierce,"374,990",09/05/2024 10:34:28 PM
5184,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/lelia,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Lelia,,34951,Fort-Pierce,"398,990",09/05/2024 10:34:28 PM
8278,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/emerald,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Emerald,,34951,Fort-Pierce,"411,990",09/05/2024 10:34:28 PM
8511,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/george,Home Builder,,K.Hovnanian Homes,Bellville,TX,George,,77418,Bellville,"256,990",09/05/2024 10:34:28 PM
2498,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/rochester,Home Builder,,K.Hovnanian Homes,Bellville,TX,Rochester,,77418,Bellville,"306,990",09/05/2024 10:34:28 PM
8159,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/jackie-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Jackie II,,77418,Bellville,"274,990",09/05/2024 10:34:28 PM
2840,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/leopold,Home Builder,,K.Hovnanian Homes,Bellville,TX,Leopold,,77418,Bellville,"266,990",09/05/2024 10:34:28 PM
2011,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/wilmington-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Wilmington II,,77418,Bellville,"307,990",09/05/2024 10:34:28 PM
9359,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/lancaster-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Lancaster II,,77418,Bellville,"286,990",09/05/2024 10:34:28 PM
2284,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/darlington-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Darlington II,,77418,Bellville,"300,990",09/05/2024 10:34:28 PM
1777,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/bluebell,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Bluebell,,44081,Perry-Village,"278,990",09/05/2024 10:34:28 PM
5570,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/forsythia,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Forsythia,,44081,Perry-Village,"308,990",09/05/2024 10:34:28 PM
2827,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/daffodil,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Daffodil,,44081,Perry-Village,"320,990",09/05/2024 10:34:28 PM
3559,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/oleander,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Oleander,,44081,Perry-Village,"326,990",09/05/2024 10:34:28 PM
1144,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/water-lily,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Water Lily,,44081,Perry-Village,"346,990",09/05/2024 10:34:28 PM
1216,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/hanover,Home Builder,,K.Hovnanian Homes,Green,OH,Hanover,,44685,Green,"350,990",09/05/2024 10:34:28 PM
1090,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/irving,Home Builder,,K.Hovnanian Homes,Green,OH,Irving,,44685,Green,"320,990",09/05/2024 10:34:28 PM
8707,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/eastwood,Home Builder,,K.Hovnanian Homes,Green,OH,Eastwood,,44685,Green,"340,990",09/05/2024 10:34:28 PM
3117,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/eastwood-loft,Home Builder,,K.Hovnanian Homes,Green,OH,Eastwood Loft,,44685,Green,"385,990",09/05/2024 10:34:28 PM
2330,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/hanover-with-morning-room,Home Builder,,K.Hovnanian Homes,Green,OH,Hanover with Morning Room,,44685,Green,"370,990",09/05/2024 10:34:28 PM
7932,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/appleton,Home Builder,,K.Hovnanian Homes,Green,OH,Appleton,,44685,Green,"354,990",09/05/2024 10:34:28 PM
