product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,sq_ft,site_plan,date,Sales Model,Closed,Quick Delivery,Sold,Unavailable,Future Development,Available,Reserved,total
4336,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/sawyer-ii,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
3624,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/aiden,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
4990,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/cooperfield,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
5740,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/samuel,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
4592,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/easton-ii,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
7195,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/logan,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
2210,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/louise,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
6746,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/cameron,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
5913,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/caroline,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
2391,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood/juniper-ii,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
9903,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood/willard-ii,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
6746,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood/cooperfield,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
2991,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood/tuscany-ii,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
9993,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood/walton-ii,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
9083,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood/clarendon,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
8307,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood/leo,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
1167,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood/josephine,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
3817,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood/andrew,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
4100,Hovnanian,https://www.khov.com/find-new-homes/new-jersey/wharton/07885/k-hovnanian-homes/morris-woods,Home Builder,,K.Hovnanian Homes,Wharton,NJ,Morris Woods,,7885,Wharton,"5,07,990","1,852",plan_available,20/05/24,1,15,0,43,14,0,11,1,85
3947,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
5172,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westwood,Home Builder,,K.Hovnanian Homes,League-City,TX,Westwood,,77573,League-City,"4,86,777",,plan_available,20/05/24,1,64,3,16,1,0,0,0,85
2303,Hovnanian,https://www.khov.com/find-new-homes/california/rancho-cordova/95742/k-hovnanian-homes/montrose-at-the-ranch,Home Builder,,K.Hovnanian Homes,Rancho-Cordova,CA,Montrose at The Ranch,,95742,Rancho-Cordova,"6,36,652","2,382",plan_available,20/05/24,2,67,4,2,0,10,0,0,85
5170,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Aspire at Hawks Ridge,,34983,Port-St-Lucie,"3,22,995","1,690",plan_available,20/05/24,0,50,10,19,0,0,4,0,83
6611,Hovnanian,https://www.khov.com/find-new-homes/texas/montgomery/77356/k-hovnanian-homes/waterstone-on-lake-conroe,Home Builder,,K.Hovnanian Homes,Montgomery,TX,Waterstone on Lake Conroe,,77356,Montgomery,"4,75,990","2,298",plan_available,20/05/24,0,22,5,8,29,0,16,1,81
8515,Hovnanian,https://www.khov.com/find-new-homes/florida/stuart/34997/k-hovnanian-homes/salerno-reserve---single-family,Home Builder,,K.Hovnanian Homes,Stuart,FL,Salerno Reserve - Single Family,,34997,Stuart,"6,74,995","2,026",plan_available,20/05/24,0,2,10,14,0,36,17,0,79
6584,Hovnanian,https://www.khov.com/find-new-homes/texas/new-caney/77357/k-hovnanian-homes/the-landing,Home Builder,,K.Hovnanian Homes,New-Caney,TX,The Landing,,77357,New-Caney,"2,50,990","1,413",plan_available,20/05/24,1,30,4,5,23,0,14,0,77
4379,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/cloverdale,Home Builder,,K.Hovnanian Homes,Houston,TX,Cloverdale,,77047,Houston,"2,95,990","1,395",plan_available,20/05/24,1,6,13,8,0,0,49,0,77
